4621|(AVL) DiTEST Fahrzeugdiagnose GmbH                           
3765|@pos.com                                                     
3151|01dB-Stell                                                   
10737|0XF8 Limited                                                
8168|103mm Tech                                                   
8219|1064138 Ontario Ltd. O/A UNI-TEC ELECTRONICS                 
4375|11 WAVE TECHNOLOGY, INC.                                     
4835|1417188 Ontario Ltd.                                         
5288|1C Company                                                   
12048|1MORE INC.                                                  
8539|2D Debus & Diebold Messsysteme GmbH                          
4048|2L international B.V.                                        
7303|2N TELEKOMUNIKACE a.s.                                       
2110|2-Tel B.V.                                                   
7343|2WCOM GmbH                                                   
2248|2Wire, Inc                                                   
12686|360 Electrical, LLC                                         
12930|360 Service Agency GmbH                                     
11161|360fly, Inc.                                                
9818|3Brain GmbH                                                  
9397|3C TEK CORP.                                                 
1928|3Cam Technology, Inc                                         
1286|3Com Corporation                                             
9583|3D CONNEXION SAM                                             
11190|3D Imaging & Simulations Corp. (3DISC)                      
7907|3D INNOVATIONS, LLC                                          
9900|3D Robotics Inc.                                             
10632|3D Systems Corporation                                      
12655|3D Technologies Ltd                                         
2982|3DM Devices Inc                                              
11770|3DRUDDER                                                    
7513|3DSP                                                         
6963|3DV Systems Ltd.                                             
8709|3eYamaichi Electronics Co., Ltd.                             
9806|3i Corporation                                               
4263|3i techs Development Corp                                    
7123|3layer Engineering                                           
2200|3M Canada                                                    
7723|3M CMD (Communication Markets Division)                      
7717|3M Cogent, Inc.                                              
2597|3M Germany                                                   
2166|3M Home Health Systems                                       
3372|3M Library Systems                                           
8463|3M Scott                                                     
1430|3M Touch Systems                        
3637|3Pea Technologies, Inc.                 
6303|3Shape A/S                              
11721|3T B.V.                                
6485|4G Systems GmbH                         
10009|4iiii Innovations Inc.                 
10728|4Links Limited                         
10244|4MOD Technology                        
12215|64seconds, Inc.                        
11175|77 Elektronika Kft.                    
12657|8086 Consultancy                       
12070|89 North, Inc.                         
8845|8D TECHNOLOGIES INC.                    
9599|8devices                                
12086|90meter Solutions, Inc.                
4757|A & G Souzioni Digitali                 
9668|A & R Cambridge Ltd.                    
9454|A C S Co., Ltd.                         
3689|A Global Partner Corporation            
2266|A W Electronics, Inc.                   
3516|A&D Company, Limited                    
11849|A&T Corporation                        
6910|A. Eberle GmbH & Co. KG                 
2333|A. K. Barns Ltd.                        
6871|A.B.O. Co., Ltd.                        
9553|A.E.B. Industriale S.r.l.               
3972|A.E.B. S.R.L.                           
6994|A.R. Hungary, Inc.                      
2081|A.T. Cross                              
4670|A.T. WORKS, Inc.                        
9965|a.tron3d GmbH                           
8389|A.U. Physics Enterprises                
5849|A7 Engineering, Inc.                    
4025|AACOM CORPORATION                       
9638|AADI AS                                 
6545|AAI Corporation                         
3181|Aardvark                                
12146|Aaronia AG                             
1750|Aashima Technology B.V.                 
3902|Aastra Broadband                        
9022|Aastra Telecom Inc.                     
12714|AB Circle Limited                      
10371|abatec group AG                        
7156|ABB / Drives                            
7632|ABB AS, Division Automation Products    
2070|ABB Automation Products AB              
6409|ABB Inc. Totalflow Division             
11250|ABB India Limited                                     
8610|ABB Low Voltage Products                               
8668|ABB S.p.A., Low Voltage Products Division              
5243|ABB STOTZ-KONTAKT GmbH                                 
5684|ABB Switzerland Ltd.                                   
6753|Abbott Diabetes Care                                   
9375|ABC PCB Sarl                                           
5069|ABCD Aging Biorhythms and Computer Diagnostics GmbH    
1927|Abera System Corp                                      
6356|ABI Electronics Ltd.                                   
7078|Abilis Systems                                         
5145|ABILITY ENTERPRISE CO., LTD.                           
12412|Abionic SA                                            
3777|ABIT Computer Corporation                              
1886|ABIT Corporation                                       
5438|abKey ptd ltd.                                         
1940|ABL Electronics Corporation                            
6373|Ablaze Systems LLC                                     
1837|Able Communications, Inc.                              
8262|AbleNet Inc.                                           
10626|Ableton AG                                            
1976|AboCom Systems, Inc.                                   
7643|Abon Touchsystems Inc.                                 
6697|ABOV Semiconductor Co., Ltd.                           
3803|AboveTech, Inc.                                        
8689|ABS Group AB                                           
10972|Absolute USA                                          
12773|Abtivan Corporation (GTR Simulator)                   
2095|ACACIA                                                 
6478|acam-messelectronic GmbH                               
1656|ACARD Technology Corp.                                 
12335|AcBel Polytech Inc.                                   
1252|ACC Microelectronics                                   
7328|ACCARIO Inc.                                           
4067|ACCEL CORP.                                            
7338|Accel Semiconductor Corp.                              
5364|Accell Corporation                                     
7521|ACCEMIC GmbH & CO. KG                                  
5637|Acces I/O Products, Inc.                               
4077|ACCESS CO., LTD.                                       
10568|Access Network Technology Limited                     
3536|Access Solutions                                       
9885|Accessible Technologies, Inc.                          
5664|Accesstek Inc.                                         
5933|AccFast Technology Corp.                               
2120|Accton Technology Co., Ltd.                            
2106|Accton Technology Corporation                          
3700|Accu-Automation Corp.                         
10219|ACCUCOMM, INC.                               
10392|Accumetrics Associates, Inc.                 
8685|Accuphase Laboratories, Inc.                  
1978|Accurate Technologies, Inc.                   
6290|Accuri Instruments, Inc.                      
2357|Accurite Technologies, Inc.                   
6338|AccuSport International, Inc.                 
5055|Accusys, Inc.                                 
6189|Accutron Limited                              
8046|AccuVein LLC                                  
8373|ACD Gruppe                                    
13015|ACDC Limited                                 
6635|ACE Antenna, Advanced Technology R&D Team.    
1120|Ace Cad Enterprise Co., Ltd.                  
7105|ACE ELECTRONIQUE                              
8799|Ace Karaoke Corp.                             
4766|Aceeca Limited                                
8758|ACELLA                                        
1180|Acer Advanced Labs, Inc.                      
2017|Acer Netxus Incorporated                      
2407|Acer NeWeb Corporation                        
1646|Acer Semiconductor America, Inc.              
1282|Acer, Inc.                                    
1070|Acer, Inc.(2)                                 
7347|Aces Electronics Co., Ltd.                    
3859|Acetek Technology Co., Ltd.                   
9446|ACI Analytical Control Instruments GmbH       
8143|ACK Co., Ltd.                                 
3178|Ackerman Computer Sciences                    
5675|Acksys                                        
10273|Aclima Inc.                                  
3554|Acom Data                                     
1314|ACON, Advanced-Connectek, Inc.                
9431|ACORDE TECHNOLOGIES                           
12353|Acoustic Arc Technology Holding Limited      
11152|ACR Braendli & Voegeli AG                    
9855|Acromag Inc.                                  
6544|Acron Precision Industrial Co., Ltd.          
9471|Acroname Inc.                                 
6285|Across Techno, Inc.                           
3938|Acrox Technologies Co., Ltd.                  
9620|Acsys Technologies Ltd.                       
1564|Act Labs, Ltd.                                
1301|ACTC                                          
5518|Acterna Germany GmbH                          
2837|Actia Do Brasil Ind. E. Com. Ltda.            
5759|Actigraph, LLC                              
4312|ACTIKEY S.A.                                
6920|Actimo Inc.                                 
6721|Action Electronics Co., Ltd.                
11715|Action Industries (M) SDN BHD              
2101|Action Star Technology Co., Ltd.            
7951|Action Technology (SZ) Co., Ltd.            
7649|Actions Microelectronics Co., Ltd.          
4310|Actions Semiconductor Co., Ltd.             
5736|Actiontec Electronics, Inc.                 
8036|actionXL, Inc.                              
2500|ACTiSYS Corporation                         
2499|ACTIVCARD, INC.                             
3674|ACTIVE CO., LTD.                            
2697|Active Company                              
10505|Active Mind Technology                     
5700|Active Technologies SRL                     
2132|Active Wire, Inc.                           
5579|Activis Polska                              
5168|Activision                                  
1607|Acton Research Corporation                  
10876|Acute Technology Inc.                      
6012|AD Information & Communications Co., Ltd    
8530|AD Semiconductor Co., Ltd.                  
9114|Adafruit Industries LLC                     
12647|Adam Hall Group                            
5437|Adam Tech                                   
4306|Adams IT Services                           
1011|Adaptec, Inc.                               
11329|Adaptertek Technology Co., Ltd.            
10990|Adapt-IP Company                           
